URL,Version,Status,OIDs,Name,Title,Description,Used
http://smart.who.int/pcmt-vaxprequal/CodeSystem/PreQualPresentation,0.2.0,active,,PreQualPresentation,WHO PreQualificaiton Vaccine Presentations,"WHO PreQualificaiton Vaccine Presentations","ValueSet/PreQualPresentation"
http://smart.who.int/pcmt-vaxprequal/CodeSystem/PreQualProductIds,0.2.0,active,,PreQualProductIds,WHO PreQualificaiton Vaccine Product Ids,"WHO PreQualificaiton Vaccine Product Ids","ValueSet/PreQualProductIds"
http://smart.who.int/pcmt-vaxprequal/CodeSystem/PreQualVaccineType,0.2.0,active,,PreQualVaccineType,WHO PreQualificaiton Vaccine VaccineTypes,"WHO PreQualificaiton Vaccine VaccineTypes","ValueSet/PreQualVaccineType"
